	actual_label	prediction	abstract
51	Non-Course	Non-Course	 river seinfeld javaworld cgi nba travel tsinghua ac wife chicago jersey soccer brunswick usa ph perl china visitor latex gamelan tx austin tk tcl street jordan ibm ieee lu html sun contact cst microsoft finger misc michael fun today unit acm fox network site number edu state year r program b use nov news p page cs
52	Course	Non-Course	 born cse washington h experiment edu spring page home cs
53	Non-Course	Non-Course	 eng join thing w send email august edu group page home cs
54	Non-Course	Non-Course	 damani hai u vijay garg ph fax follow dr tx austin feel dept contact read st get fun network web edu interest r parallel work research use time phrase phone p page home cs
55	Non-Course	Non-Course	 img resumé finder fax wa sieg box src jonathan washington gif link hall
56	Non-Course	Non-Course	 javascript ut apt luo weather ph perl china visitor austin street inc h sun contact e finger st th yahoo today network web java edu year r b research use link p page home cs
57	Course	Non-Course	 enter humor usenet inform maintain visit simtel map tourist faq paragraph compress index keyword disk click ftp get command fun search user world review word site web lab interest program file type week use link space mail page home cs
58	Course	Course	 assign cse david washington edu spring page home cs
59	Non-Course	Non-Course	 mai institut voelker anna hank jamrozik postdoc fax load perform karlin wa sieg feeley box joseph speed debug vernon geoff mean mike visit map tlb j washington h v cost ii e store disk fun unit acm evan network support lie processor thu logic world edu k order g level size interest access r program march file way name work research use part mail phone hall page cs
60	Non-Course	Non-Course	 cscl metip lauren crime eick bricker bell chief stephen cooper usa steve wa sieg tanimoto carlson marla yang box inform scale pp j washington display ieee editor burnett packard june partner van learn user support baker check submit web edu order g transform interest program c march way work use time space part p page home cs
61	Course	Course	 linear adam find add follow begin teach assign chang length inform unix w lu address aug ms th ftp get zcat command gz tar scmv kb sit euler qr classroom drop newton june calendar score total partner return van martha sibley matlab loan matrix pre point code approach non session review mac pc hand f see id number edu order g viewer math lab meet staff program c file instructor name date work b use base text time vector design credit summer upson hall p page cs
62	Non-Course	Non-Course	 listen god born u church christ love kong hong seek thank trust matthew know truth teach thing john attend lead mean school think total matter see number take law use time
63	Non-Course	Non-Course	 altavista institut dri forum inform mike search send server site edu file work research design page home
64	Non-Course	Non-Course	 juan page home
65	Non-Course	Non-Course	 dexter ithaca usa fax joseph jr york phd kozen newton fun logic professor edu automata interest paper program algebra type work research upson hall home cs
66	Non-Course	Non-Course	 kevin
67	Course	Course	 philip follow assign wednesday lab meet section room prelim tuesday use thursday link cover upson page home cs
68	Non-Course	Non-Course	 listen connect eat u gay ring hell somehow jet neo hair dream music japan rain sound weather spent daniel gold america neat guy mountain brian follow know theorem teach winter front stop traffic label tim thing smile mother visit paragraph call respond tick oct co pyramid make well dept read finger school ee think get june score fun talk point mit contrast random world tell half see ta dan server web fall edu color year multimedia r paper program way x name week work use hill link time summer news page cs
69	Course	Non-Course	 lisp symbol program cs
70	Non-Course	Non-Course	 connect coauthor mexico vice sigact chairman join nation dean ph reed inform paul symposium berkeley author visit washington stanford ieee board read taught unit acm logic professor chosen state california year textbook interest paper program work research time control group p
71	Non-Course	Non-Course	 god christ le kong hong thank nation christoph guitar fax let visitor age art hope yau chow tx austin tay label sept street david make contact e st get drop fun tell word www number edu k interest work research home cs
72	Non-Course	Non-Course	 west apt wi paul uw street ai martin madison wisc st dayton edu interest work b page home cs
73	Non-Course	Non-Course	 connect gigabit phenomena wi nation darpa ph clock fax loop pp speed sigcomm francisco san lhl w rate ieee h wisconsin madison wisc st dayton window acm network atm fast focus professor email august edu april interest r program work research time feedback control design data mail page home cs
74	Non-Course	Non-Course	 warshaw u cool lane develop usa fax follow inform maintain tx austin tay mike l contact school dan edu paper c work research base nov page home
75	Course	Course	 listen write care assign keep inform rest noon bart doit well cdt sep wisconsin madison read pass sheet detail discuss get sit score talk point support thu miller review fall textbook level meet paper file tuesday name week work use base thursday text time part design group page cs
76	Course	Course	 connect u ask council write institut teach assign nd inform ilp q apr akcl dataset ga ok lead cohen rml backprop mooney rumelhart aij mlj author geoffrey highway weinberg geoff faq basement noon lisp stat wednesday ieee al vi edit experiment make doit shavlik dept ai jude comp cae read wisc sheet hw progress monday printer overview search learn code mit ml network logic mon hand ta email id server www edu april help math textbook et level lab section paper program march instructor week pm use press base link feedback space cover spring department phone homework group page home cs
77	Non-Course	Non-Course	 vladimir j page home
78	Non-Course	Non-Course	 tarafdar u round usa fax let tx austin tay contact get edu c page home cs
79	Non-Course	Non-Course	 ask transmit thank develop fine find write lawyer arpa cstr market institut dri xerox hypertext agent art inform media author mean understand make phd contact correct jim risk e read run end fun learn mit network support see dan server web edu order g product lab interest access staff paper work research use time feedback part design group cs
80	Non-Course	Non-Course	 page home
81	Non-Course	Non-Course	 lauckhart selberg erik etzioni oren com search greg word java copyright phrase control page home
82	Non-Course	Non-Course	 u jianwei bo arm univ sigmod mine birch develop conf proc ijcai find cooper ph fax china inform branch workshop canada symposium multi domain int raghu ramakrishnan dataset l miron compress v robot dept aug sep wisconsin zhang madison e wisc st th run june acm fast motion submit joint edu jan g room interest r c research use link time space design data mail p page home cs
83	Non-Course	Non-Course	 u owl houston stephen rice usa fax know perform art tx austin tay thing carl mr scheme get return random world see www web edu interest program c march work research link p page home cs
84	Non-Course	Non-Course	 seinfeld enjoy nba letterman calvin thing show david wisc processor edu buffer interest paper page home cs
85	Non-Course	Non-Course	
86	Non-Course	Non-Course	 saeed mirza univ kanpur india guestbook love iit wi institut song sc calvin street w oct n comp contact wisconsin madison read wisc dayton tech hi send check email edu access b time page home cs
87	Course	Course	 born alan nation assign sieg winter cse inform highway site web instructor b link time tue page home
88	Non-Course	Non-Course	 hsu eng edu cs
89	Non-Course	Non-Course	 ut album aka com inform austin ed photo contact jeff ece keyword calendar search site edu center research group cs
90	Non-Course	Non-Course	 hert terrain vita tiwari develop plane planar proc wi susan vladimir uw w ieee experiment v robot wisconsin madison e wisc st dayton motion dan august edu lab interest paper program work research link cover design page home cs
91	Course	Course	 rubinfeld ronitt make sheet hw addendum verlag springer kozen talk moran evan mwf see ta paper instructor x thursday text time design nov upson homework
92	Course	Course	 teach assign steve mscc doan anhai sieg tanimoto winter keep cse inform dr unix option lisp washington mr point mwf smith pc web edu g textbook room c instructor work use time data summer hall page cs
93	Non-Course	Non-Course	 kaltenbach psp ut checker emerson tex develop find ph add inform misra tx austin tay taylor visit address contact ftp network support logic world email site edu state interest program work b research link time part model phone hall group page home cs
94	Non-Course	Non-Course	 bennett rotenberg west erik fetch multiscalar bandwidth wi assign steve johnson branch ilp symposium street j trace address wisconsin madison ece e wisc dayton th approach smith professor edu april level parallel research mail phone page home cs
95	Non-Course	Non-Course	 dilbert bio browbeck blood onion damn india santa brief weather tom ray nation institut follow lunch care hypertext steve william art inform channel wait uw stukel sundaram contain call show david al index edit madison th non review tell hand see ta site web take camera math interest research link mail hall news page home cs
96	Non-Course	Non-Course	 found hailperin humm ba foster west babylon fan develop soccer minnesota wi nation usa play know perform teach dvi art inform symposium multi max fischer thing street fink milo show l j ieee n phd game martin wisconsin madison e wisc st dayton school sit acm fast world email web java edu standard g year land section interest parallel program c algebra tuesday b pm research use hill thursday space design summer mail phone p page home cs
97	Non-Course	Non-Course	 hauck sw chou macduff chinook connect pdt west target develop scott nation mountain arpa ph wind dri grant follow perform cad gaetano borriello inform pai maintain diego san driver map j salmon co washington n make school hw detail run output june code user shelf processor robert take level meet staff paper program ross name work link time control design summer nov tue
98	Non-Course	Non-Course	 alan k
99	Non-Course	Non-Course	 find inform cilk rdb mit check robert august edu parallel c use base time page cs
100	Course	Course	 connect img steven teach assign inform unix feel option toc href li alt src ipng rfc tcp socket powerpoint teitelbaum ben nsp lhl uw map w stat csl wednesday richard ip h gif html sci comp isbn madison read wisc click monday get overview code network atm mwf ps review f professor email fall edu bug program tuesday instructor name thursday text time term design spring mail phone hall p cs
101	Non-Course	Non-Course	 wisconsin page home
102	Non-Course	Non-Course	 salton
103	Non-Course	Non-Course	 rice ph teach inform dahlin tx austin taylor berkeley mike experiment architect read disk serverless network price world professor email web fall edu lab interest file work b research link data spring hall page cs
104	Non-Course	Non-Course	 susan
105	Non-Course	Non-Course	 galileo kiloprocessor goodman develop north holland stein tunnel wind perform nd com inform prolog workshop pp symposium option david ieee v editor depth cost dept sci jim tr wisconsin wisc st th processor august edu k standard april g interest r parallel march work research use base design data p page home cs
106	Non-Course	Non-Course	 pure flight coke park heidi hotlist enjoy love food microkernel travel sound vita wife spent develop join air dean usa spin alto palo perform teach assign cecil vortex chateau wa sieg keep quarter cse maintain scale feel inter letter contain author pay co client washington dec fr seminar jeff pass run galvin fun learn code send support flow world word number k level meet interest bug access parallel paper program split way work research use base part control design model data summer spring group
107	Non-Course	Non-Course	 isheldon sheldon isaac coursework ray inform austin inc trace contact aug e user www http edu use summer mail phone page cs
108	Course	Course	 bi assign synario cad corin corey gaetano eeb sieg borriello nonprofit keep quarter cse tth inform maintain katz anderson thing contain author washington h address wesley addison e think monday send workload mwf logic pc tell ta web copyright edu textbook meet interest r instructor use benjamin link time feedback design credit mail page home cs
109	Non-Course	Non-Course	 connect ut travel spent institut usa fax teach almstrum vicki maintain tx austin tay etc excel understand l sweden ieee address contact mentor june learn point acm logic check email site web fall edu field interest c work research link time group page home cs
110	Non-Course	Non-Course	
111	Non-Course	Non-Course	 lpm vdl padgett ut counter usa fax follow draft tx austin tay domain driver powerpoint contain call j contact microsoft window thu pc professor email edu k program c file work b research use control design cs
112	Non-Course	Non-Course	 connect linear west gareth lo kjell connectionist rpi allmen morgan hibbard seitz siggraph maryland bradley represent vita irregular develop conf proc dc find usa ph fax brian rosenfeld cvpr steve nd cad chang com workshop yu paul vol int street ed map w understand call l j co boston display shah contour ieee vi v n make jain viewpoint dyer well trace robot correct wisconsin madison e finger wisc dayton bestor th progress taught bookmark output correspond point user approach flow non motion f professor site take fall edu k period order vision stereo camera scene viewer center leader interest r program c way bill type work b research use press base link time space control model data spring mail group p page home cs
113	Non-Course	Non-Course	 page home
114	Non-Course	Non-Course	 pure writeup ne cool irregular write join zpl visitor vass cecil vortex cse graph href uw washington html mosaic overview thu check download www http web edu k lab room access staff paper c file use link design data department page home cs
115	Non-Course	Non-Course	 bowl ea wen apt taiwan atlanta tom ny develop nation market ithaca tk tcl etc understand photo address meng window hung network email background java edu field vision interest rivl multimedia paper program c b page cs
116	Non-Course	Non-Course	 adjunct inform austin address contact read greg professor edu r research page cs
117	Non-Course	Non-Course	 milton bs ohio wi kent teach keep w oct fri ms todd wisconsin madison wisc st dayton school click professor edu year section program work time home cs
118	Course	Non-Course	 page home cs
119	Non-Course	Non-Course	 jun bowl hewett micheal ut marathon motorola grad nation fax nd tokuda contest sawada tx austin tay taylor author visit call wednesday stanford address phd ai finger hi click learn acm download email web number fall edu year interest program b research time summer spring mail phone hall p page home cs
120	Course	Non-Course	 spring page home cs
121	Non-Course	Non-Course	 qsim represent ph fax teach agent inform consider austin expert map j robot contact finger detail mit logic tour world professor email fall edu interest access paper b research use press base benjamin model spring mail phone group page home cs
122	Non-Course	Non-Course	 zuckerman david
123	Course	Course	 glad dwip ask dell follow assign lang fj iso turbo length nimar inform pai dr maintain porter prolog hope feel csp taylor option welch menu lead faq ansi wednesday html desk ai comp ii misc newsgroup sheet addendum th click monday discuss get total format today send mon session review check mac download borland ta email server number take edu test help bruce lab section room interest access parallel program file instructor week pm use base thursday link text time cover nov tue mail phone hall news p page home cs
124	Non-Course	Non-Course	 u west lo represent develop scott wi ph fax chang inform contain expert map w understand j chuck display dept phd ai wisconsin madison e wisc st dayton june pre approach focus support logic non professor edu test center level interest way work research use link control design model data mail group page home cs
125	Non-Course	Non-Course	 chuanjun ut univ enjoy apt tsinghua fine find write rock sea ph china know chang inform unix tx austin thing call l wang well e read st detail end get return search surf world check pc word web take program break work use link time design p page home cs
126	Course	Course	 linear inform mp l wisconsin michael network flow fall program c instructor spring page cs
127	Non-Course	Non-Course	 salesin joanna mater alma west cool music siggraph grad neat sean uw brad ed jonathan l j david washington h york school hi fun acm evan site edu color interest research link page home cs
128	Non-Course	Non-Course	 kerala india gc colloqium carpet seena apt eng ny ithaca inform jpeg york dept tech click june hoca see java fall edu k viewer multimedia b model summer spring practicum cs
129	Non-Course	Non-Course	 esra bilkent turkey represent usa fax inform tx austin contact e learn logic non edu interest program b mail cs
130	Non-Course	Non-Course	 univ steam medal circa nation ph fax visitor karp wa cse box inform contest mbone colloquia uw desktop intel washington progress click impact overview talk acm half web edu staff parallel program research link time news page cs
131	Non-Course	Non-Course	 com
132	Non-Course	Non-Course	 linear univ wi steven prism tunnel wind lederman huss fax keep draft forum inform w compress editor html dept wisconsin isbn madison e finger wisc st dayton get tar mit www http web edu standard order interest mpi parallel file algebra work research use press cover mail phone page home cs
133	Non-Course	Non-Course	 art
134	Non-Course	Non-Course	 sidney hummert sid j wisc click email edu name phone page cs
135	Non-Course	Non-Course	 listen u found enter resumé railroad ship wen szu love music sound spectrum taiwan career find write guy steven island let truth age hunt art dr unix calvin lego audio self channel thing street tang intel mean pay watch editor linux read think run get network thu face check field year land bruce interest program c name work time part design model huang page home
136	Non-Course	Non-Course	
137	Non-Course	Non-Course	 merl mitsubishi nasa vice bombay taiwan career develop bound nation colorado institut usa ph fax china inform scale lam workshop pasadena rao rangan kandlur goyal tx austin shenoy audio taylor vol symposium speed multi diego venkat san vin harrick placement intel inc l j csl co washington ibm ieee h sun address contact csm cst board tech th disk end june acm network support professor email server edu state california april center interest multimedia program c march file work b research design mail phone hall p page cs
138	Course	Course	 found cse web fall design page home
139	Course	Course	 found develop write join grant audit snyder zpl zp eun choi loop sung follow perform majordomo loew sieg quarter cse art inform unix platform debug uw etc none oct wednesday index block well syntax e run matlab learn fortran code user send fast web state g interest staff parallel program c pm use link text cover design credit mail page home cs
140	Non-Course	Non-Course	 west hockey schnarr wi usa tunnel wind dragon byte street jim wisconsin madison wisc dayton edu interest research link design phone page home cs
141	Non-Course	Non-Course	 david
142	Non-Course	Non-Course	 offset dataflow target pldi bound spin grant loop load perform inform branch uw washington cost detail run pre code approach fast web august edu section paper program c work use base time part design data group cs
143	Non-Course	Non-Course	 ba lo represent seek jul phenomena chain career vadim coe jpg tel develop wi nation fax shapiro csg inform maintain vol sal engr uw contain call l index portrait make york address dept phd ms cdt wisconsin madison e wisc search today acm support thu browser professor http edu california k april product help center interest r program algebra research use base thursday term space part design model relationship credit mail page
144	Non-Course	Non-Course	 listen dave ut cyberdog chaput alta onion résumé catch hair cool dream represent il weather spent chicago write fiction sleep road institut ph salon webster play brian hypertext catalog tx austin taylor alt mean map call lisp watch wood client robot game jeff martin microsoft read school scheme symbol yahoo learn brain support tour non mac email site web edu cardiff period year lab paper program b phrase data hall news home cs
145	Course	Course	 listen write care inform consider noon oct wednesday lee sridhar zhu richard wang taxiao chen wei nag biswadeep raman basney sodani avinash prasad jordan craig pang salmon watch solomon marvin cao dec experiment make doit well desk address aug jim munson tr sep todd zhang cst friday read wisc michael detail click monday discuss get sit total point thu review email fall edu standard textbook level meet room paper file tuesday week pm research use thursday text time term space cover design phone group news cs
146	Course	Course	 linker brian assign inform cpu logic spec ps tour smith program design homework page home cs
147	Non-Course	Course	 wa atkinson phil ed tuth wisc email edu pm research phone page home cs
148	Non-Course	Non-Course	 somerset kakkad motorola brief ph inform tx austin taylor call v address contact finger support see email reach edu standard center c way work research use time part design hall group page home cs
149	Non-Course	Non-Course	 ut sale apt tsinghua weather ph china know visitor art yu austin ed h address sci contact finger school th today check email www edu use link page home cs
150	Non-Course	Non-Course	 suzuki masafumi sector nba inform display ii e ie network browser site web java fall edu polygon lab multimedia program research use design model data summer spring cs
151	Non-Course	Non-Course	 ph know visitor art nimar tx austin max l min h phd contact e hi click bookmark output get score number year interest r c term page home
152	Non-Course	Non-Course	 ut
153	Course	Course	 forget found hash teach assign inform unix skip jiacheng jia bail attend sol vega kurt adt handin w wednesday comparison lec jim reload e read wisc monday end discuss get search code mwf mon browser f see ta web number copyright edu makeup help lab r program c file work pm use link time data cheng page home cs
154	Non-Course	Non-Course	 arm mess anyhow mine write keep thing letter editor read school think year center work press time
155	Non-Course	Non-Course	 tom
156	Non-Course	Non-Course	 kevin page home
157	Non-Course	Non-Course	 feng yu
158	Non-Course	Non-Course	 poland thank visitor inform stop number lab c cs
159	Non-Course	Non-Course	 mccain norm u ut ba vita usa fax lifschitz vladimir causal tx austin tay phd contact ms logic baker edu interest paper program c research page home cs
160	Non-Course	Non-Course	 amr ny pingali nation ithaca brunswick richter colorado rice hu pde fluid watson vineet prema bernoulli institut ph fax mimd load yang dr thompson workshop pp vol symposium domain menu joe ed siam map l j vii ahuja wang co toolkit al h v n well ii e th end kodukula june acm nj fox support f edu state k april field g center et room r parallel paper program c work research base design model data spring phone hall p page cs
161	Course	Non-Course	 eicken u sp find thorsten perform inform maintain atm mpp check von pentium io br r mpi spam parallel paper program c split use spring homework page home cs
162	Non-Course	Non-Course	 washington research
163	Non-Course	Non-Course	 dave enjoy hau roll railroad usenet shore develop semi pub aircraft wi moon gate tyger poem tiger fiction sleep beer forth guy hacker josef bolo road usa play burger follow care william chang inform unix label star thing uw dewitt apr visit call pay david experiment sun address game wisconsin cst architect madison read wisc school store run get fun user world tell hand word server www site web number take edu year help meet parallel sql way type work use thursday time part control design model data tue news page home cs
164	Non-Course	Non-Course	 enjoy madani chateau wa keep box uw washington ai browser see edu year work b page home cs
165	Non-Course	Non-Course	 ed
166	Course	Course	 follow assign chang inform contain w none oct vii iv iii stat deboor carl dec index vi v doit well aug sep ii wisc mwf f email fall edu math x link time nov homework page home cs
167	Non-Course	Non-Course	 vita plight institut usa wa box thing washington detail end return statement edu year help cs
168	Non-Course	Non-Course	 page home
169	Non-Course	Non-Course	 ut valley ph know vlsi tx austin make contact finger network check fall edu work cs
170	Course	Course	 pldi cooper snyder eun zhou jason sc sean choi loop cross sung lcpc padua ppopp reed perform majordomo ruth loew presentor quarter cse cilk hope core attend brad gupta integer iv al block seminar e read monday discuss output matlab send pc holiday et parallel paper program tuesday date pm model data mail page home cs
171	Non-Course	Non-Course	 coral eat find lan rock sea usa kevin teach wa box speed visit map washington photo make get search brain non see professor take edu parallel paper c work research time part group page home cs
172	Course	Course	 marco amit hash find write bob follow know teach latex inform domain weight wednesday index edit read get return learn send submit see ta edu april paper break march prelim file sql algebra tuesday silberschatz instructor way ross bill x name type date week work yamasani amith aguilera b pm research salton use press base benjamin hill mcgraw thursday link text time term phrase feedback space vector cover part control crash design model relationship data credit summer spring upson mail homework group page home cs
173	Non-Course	Non-Course	 menon vijay apt ny ithaca fax address th august edu k hall home cs
174	Course	Course	 assign inform hummert sid mosaic lec contact fri savitch walter psych microsoft misconduct wisc rm monday window mwf borland email edu textbook lab section program c instructor thursday text nov phone page home cs
175	Non-Course	Non-Course	 genvoca develop metadata ph sc follow perform inform tokuda scale feel domain contain visit bart compress index contact jeff sep e read run breadth get tar overview approach thu check professor web take edu k period order g transform product paper program march file algebra work research use time term part design model relationship data group p page home cs
176	Non-Course	Non-Course	 nba membership bachelor tsinghua ny soccer ithaca ph china chen wei bookmark network professor august edu year interest work time upson hall group page home cs
177	Course	Course	 latter assign match read learn hand level paper program research use cover part homework cs
178	Non-Course	Non-Course	 interest
179	Non-Course	Non-Course	 emilio pelenur apt summit bs ny develop ethernet write ithaca fax teach platform show toolkit compress sun st demand search network atm fast motion world server www http web edu color center parallel paper program c use design upson hall page home cs
180	Non-Course	Non-Course	 mateev ny ithaca nikolay edu upson hall cs
181	Non-Course	Non-Course	 jia wang page home
182	Course	Course	 marc represent assign kushmericknick friedmanfriedman weldweld agent sieg quarter cse index depth address ai read search learn tba see dan fall staff mail page cs
183	Non-Course	Non-Course	 page home
184	Non-Course	Non-Course	 c
